,comp_fixed,product_code,product_number,product_category,full_address,company_philips,company_akzo,company_van_houten,company_unilever,product_smartphone,product_tv,product_laptop,product_tablet,name
1,philips,p,5,Smartphone,"Groningensingel 147 , arnhem , the netherlands",1,0,0,0,1,0,0,0,dhr p. jansen
2,philips,p,43,Smartphone,"Groningensingel 148 , arnhem , the netherlands",1,0,0,0,1,0,0,0,dhr p. hansen
3,philips,x,3,Laptop,"Groningensingel 149 , arnhem , the netherlands",1,0,0,0,0,0,1,0,dhr j. Gansen
4,philips,x,34,Laptop,"Groningensingel 150 , arnhem , the netherlands",1,0,0,0,0,0,1,0,dhr p. mansen
5,philips,x,12,Laptop,"Groningensingel 151 , arnhem , the netherlands",1,0,0,0,0,0,1,0,dhr p. fransen
6,philips,p,23,Smartphone,"Groningensingel 152 , arnhem , the netherlands",1,0,0,0,1,0,0,0,dhr p. franssen
7,akzo,v,43,TV,"Leeuwardenweg 178 , arnhem , the netherlands",0,1,0,0,0,1,0,0,dhr p. bansen
8,akzo,v,12,TV,"Leeuwardenweg 179 , arnhem , the netherlands",0,1,0,0,0,1,0,0,dhr p. vansen
9,akzo,x,5,Laptop,"Leeuwardenweg 180 , arnhem , the netherlands",0,1,0,0,0,0,1,0,dhr p. bransen
10,akzo,p,34,Smartphone,"Leeuwardenweg 181 , arnhem , the netherlands",0,1,0,0,1,0,0,0,dhr p. janssen
11,akzo,q,5,Tablet,"Leeuwardenweg 182 , arnhem , the netherlands",0,1,0,0,0,0,0,1,mevr l.  rokken
12,akzo,q,9,Tablet,"Leeuwardenweg 183 , arnhem , the netherlands",0,1,0,0,0,0,0,1,mevr l.  lokken
13,akzo,x,8,Laptop,"Leeuwardenweg 184 , arnhem , the netherlands",0,1,0,0,0,0,1,0,mevr l.  mokken
14,philips,p,56,Smartphone,"Delfzijlstraat 54 , arnhem , the netherlands",1,0,0,0,1,0,0,0,mevr l.  mokken
15,philips,v,67,TV,"Delfzijlstraat 55 , arnhem , the netherlands",1,0,0,0,0,1,0,0,mevr l.  mokken
16,philips,v,21,TV,"Delfzijlstraat 56 , arnhem , the netherlands",1,0,0,0,0,1,0,0,mevr l.  mokken
17,van houten,x,45,Laptop,"Delfzijlstraat 57 , arnhem , the netherlands",0,0,1,0,0,0,1,0,mevr l.  sokken
18,van houten,v,56,TV,"Delfzijlstraat 58 , arnhem , the netherlands",0,0,1,0,0,1,0,0,mevr l.  wokken
19,van houten,v,65,TV,"Delfzijlstraat 59 , arnhem , the netherlands",0,0,1,0,0,1,0,0,mevr l.  kokken
20,van houten,x,21,Laptop,"Delfzijlstraat 60 , arnhem , the netherlands",0,0,1,0,0,0,1,0,mevr l.  Bokken
21,van houten,p,23,Smartphone,"Delfzijlstraat 61 , arnhem , the netherlands",0,0,1,0,1,0,0,0,mevr l.  dokken
22,unilever,x,3,Laptop,"Jourestraat 23 , arnhem , the netherlands",0,0,0,1,0,0,1,0,mevr l.  gokken
23,unilever,q,4,Tablet,"Jourestraat 24 , arnhem , the netherlands",0,0,0,1,0,0,0,1,mevr l.  stokken
24,unilever,q,6,Tablet,"Jourestraat 25 , arnhem , the netherlands",0,0,0,1,0,0,0,1,mevr l.  rokken
25,unilever,q,8,Tablet,"Jourestraat 26 , arnhem , the netherlands",0,0,0,1,0,0,0,1,mevr l.  rokken
